# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
namelostinshadow	Lost in Shadow (USA) (En,Fr,Es) (Rev 1)
nameloveisinbloom	Love Is... in Bloom (Europe) (En,Fr,De,Es,It,Nl)
nameluchalibreaaaheroesdelring	Lucha Libre AAA - Heroes del Ring (Latin America) (En,Es)
nameluxor3	Luxor 3 (USA)
nameluxorpharaohschallenge	Luxor - Pharaoh's Challenge (Europe) (En,Fr,De,Es,It)
namemachieikouyodoubutsunomori	Machi e Ikou yo - Doubutsu no Mori (Japan) (Rev 1)
namemaddennfl07	Madden NFL 07 (Europe)
namemaddennfl08	Madden NFL 08 (UK)
namemaddennfl09allplay	Madden NFL 09 - All-Play (Europe)
namemaddennfl10	Madden NFL 10 (Europe)
namemaddennfl11	Madden NFL 11 (USA) (Rev 1)
namemaddennfl12	Madden NFL 12 (USA)
namemaddennfl13	Madden NFL 13 (USA)
namemaddogmccreegunslingerpack	Mad Dog McCree - Gunslinger Pack (Europe) (En,Fr,De,Es,It)
namemadtracks	Mad Tracks (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)
namemadworld	MadWorld (Europe) (En,Fr,Es,It)
namemagicroundaboutthe	Magic Roundabout, The (Europe) (En,Fr,De,Es,It,Nl)
namemahjongfightclubwiiwifitaiou	Mahjong Fight Club Wii - Wi-Fi Taiou (Japan) (Rev 1)
namemahjonggparty	Mahjongg Party (Germany)
namemahjongpartypack	Mahjong Party Pack (Europe) (En,Fr,Es,It)
namemahjongtaikaiwii	Mahjong Taikai Wii (Japan)
namemajordreammajorwiinagerogyroball	Major Dream - Major Wii - Nagero! Gyroball!! (Japan)
namemajordreammajorwiiperfectcloser	Major Dream - Major Wii - Perfect Closer (Japan)
namemajorleaguebaseball2k10	Major League Baseball 2K10 (USA)
namemajorleaguebaseball2k11	Major League Baseball 2K11 (USA)
namemajorleaguebaseball2k12	Major League Baseball 2K12 (USA)
namemajorleaguebaseball2k8	Major League Baseball 2K8 (USA)
namemajorleaguebaseball2k9	Major League Baseball 2K9 (USA)
namemajorminorsmajesticmarch	Major Minor's Majestic March (Europe) (En,Fr,De)
namemamas2pack	Mama's 2-Pack (USA)
namemanhunt2	Manhunt 2 (Europe) (En,Fr,De,Es,It)
namemanvswildwithbeargrylls	Man vs. Wild with Bear Grylls (USA)
namemarblesagakororinpa	Marble Saga - Kororinpa (USA) (En,Fr,Es)
namemarblesbalancechallenge	Marbles! Balance Challenge (Europe) (En,Fr,De,Es,It)
namemargotsbepuzzled	Margot's Bepuzzled! (Europe) (En,Fr,De,Es,It)
namemargotswordbrain	Margot's Word Brain (Europe) (En,Fr,De,Es,It)
namemarinesmodernurbancombat	Marines - Modern Urban Combat (Europe) (En,Fr,De)
namemariokartwii	Mario Kart Wii (Europe, Australia) (En,Fr,De,Es,It)
namemarioparty8	Mario Party 8 (Europe) (En,Fr,De,Es,It)
namemarioparty9	Mario Party 9 (Asia)
namemariopowersoccer	Mario Power Soccer (Korea)
namemariopowertennis	Mario Power Tennis (Europe) (En,Fr,De,Es,It)
namemariosonicatbejingolympic	Mario & Sonic at Bejing Olympic (Japan)
namemariosonicatlondonolympic	Mario & Sonic at London Olympic (Japan)
namemariosonicatthelondon2012olympicgames	Mario & Sonic at the London 2012 Olympic Games (Europe) (En,Ja,Fr,De,Es,It,Nl,Ko)
namemariosonicattheolympicgames	Mario & Sonic at the Olympic Games (Europe) (En,Fr,De,Es,It)
namemariosonicattheolympicwintergames	Mario & Sonic at the Olympic Winter Games (Europe) (En,Ja,Fr,De,Es,It,Nl,Ko)
namemariosonicatvancouverolympic	Mario & Sonic at Vancouver Olympic (Japan) (Rev 1)
namemariosportsmix	Mario Sports Mix (Europe) (En,Fr,De,Es,It)
namemariostrikerscharged	Mario Strikers Charged (Japan)
namemariostrikerschargedfootball	Mario Strikers Charged Football (Europe) (En,Fr,De,Es,It) (Rev 1)
namemariosupersluggers	Mario Super Sluggers (USA) (En,Fr,Es)
namemariotennisgc	Mario Tennis GC (Japan)
namemariowasonicbeijingolympic	Mariowa Sonic Beijing Olympic (Korea)
namemariowasoniclondonolympic	Mariowa Sonic London Olympic (Korea)
namemariowasonicvancouverdonggyeolympic	Mariowa Sonic Vancouver Donggye-olympic (Korea)
namemartianpanic	Martian Panic (Europe) (En,Fr,De,Es,It)
namemarvelsuperheroes3dgrandmasterschallenge	Marvel Super Heroes 3D - Grandmaster's Challenge (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)
namemarvelsuperherosquad	Marvel Super Hero Squad (Europe) (En,Fr,De,Nl)
namemarvelsuperherosquadcomiccombat	Marvel Super Hero Squad - Comic Combat (Europe) (En,Fr,De,Es,It,Nl)
namemarvelsuperherosquadtheinfinitygauntlet	Marvel Super Hero Squad - The Infinity Gauntlet (Europe) (En,Fr,De,Es,It)
namemarvelultimatealliance	Marvel - Ultimate Alliance (Europe) (En,It)
namemarvelultimatealliance2	Marvel - Ultimate Alliance 2 (Europe)
namemarykingsridingschool2	Mary King's Riding School 2 (Europe) (En,Fr,De,Es,It)
namemathewsbowhunting	Mathews Bow Hunting (USA) (En,Fr,Es)
namemaximumracingcrashcarracer	Maximum Racing - Crash Car Racer (USA) (En,Fr,Es)
namemaximumracingdragstockracer	Maximum Racing - Drag & Stock Racer (USA) (En,Fr,Es)
namemaximumracinggpclassicracing	Maximum Racing - GP Classic Racing (USA) (En,Fr,Es)
namemaximumracingrallyracer	Maximum Racing - Rally Racer (USA) (En,Fr,Es)
namemaximumracingsprintcars	Maximum Racing - Sprint Cars (USA) (En,Fr,Es)
namemaximumracingsuperkarts	Maximum Racing - Super Karts (USA) (En,Fr,Es)
namemaximumracingsupertruckracer	Maximum Racing - Super Truck Racer (USA) (En,Fr,Es)
namemaxthemagicmarker	Max & the Magic Marker (Europe) (En,Fr,De,Es,It,Nl)
namemedalofhonorheroes2	Medal of Honor - Heroes 2 (Australia)
namemedalofhonorvanguard	Medal of Honor - Vanguard (Europe) (En,Fr,De,Es,It)
namemedievalgames	Medieval Games (Europe) (En,Fr,De,Es,It)
namemeineerstenmitsinglieder	Meine ersten Mitsing-Lieder (Germany)
namemeinetierpension	Meine Tierpension (Germany)
namemeinneueslebenabenteuerauftropicana	Mein neues Leben - Abenteuer auf Tropicana (Germany)
namemeinwortschatzcoach	Mein Wortschatz-Coach (Germany) (Rev 1)
namemeitanteiconantsuiokunomirage	Meitantei Conan - Tsuioku no Mirage (Japan)
namemejamajimarch	Meja-Maji March (Japan)
namemensaacademy	Mensa Academy (UK)
namemercurymeltdownrevolution	Mercury Meltdown Revolution (Europe) (En,Fr,De,Es,It)
namemervgriffinscrosswords	Merv Griffin's Crosswords (USA)
namemetalfightbeybladegachinkostadium	Metal Fight Beyblade - Gachinko Stadium (Japan)
namemetalsluganthology	Metal Slug Anthology (UK)
namemetalslugcomplete	Metal Slug Complete (Japan)
namemetroidotherm	Metroid - Other M (Europe) (En,Fr,De,Es,It)
namemetroidprime	Metroid Prime (Japan)
namemetroidprime2darkechoes	Metroid Prime 2 - Dark Echoes (Japan)
namemetroidprime3corruption	Metroid Prime 3 - Corruption (Europe) (En,Fr,De,Es,It)
namemetroidprimetrilogy	Metroid Prime Trilogy (Europe) (En,Fr,De,Es,It)
namemezasetsurimaster	Mezase!! Tsuri Master (Japan)
namemezasetsurimastersekainichallengehen	Mezase!! Tsuri Master - Sekai ni Challenge-hen (Japan)
namemibaliencrisis	MIB - Alien Crisis (Europe) (En,Fr,De,Es,It)
namemiburiteburi	Miburi & Teburi (Japan)
namemichaeljacksontheexperience	Michael Jackson - The Experience (Europe) (En,Fr,De,Es,It)
namemiexpertoenvocabulario	Mi Experto en Vocabulario (Spain)
namemijndierenpensionverzorgenspeelmetdeleukstedieren	Mijn Dierenpension - Verzorg en Speel met de Leukste Dieren! (Netherlands)
namemilestoneshootingcollection2	Milestone Shooting Collection 2 (Japan)
namemilestoneshootingcollectionkarouswii	Milestone Shooting Collection - Karous Wii (Japan)
namemillenniumeuropeanpaintballseriesthechampionshippaintball2009	Millennium European Paintball Series, The - Championship Paintball 2009 (Europe)
namemindbodysoulnutritionmatters	Mind. Body. Soul. - Nutrition Matters (Europe) (En,Fr,De,Es,It)
nameminiclipsushigoround	Miniclip Sushi Go-Round (USA) (En,Fr,Es)
nameminicopteradventureflight	MiniCopter Adventure Flight (USA)
nameminidesktopracing	Mini Desktop Racing (Europe) (En,Fr,De,Es,It,Nl)
nameminigolfresort	Mini Golf Resort (Europe) (En,Fr,De,Nl)
nameminininjas	Mini Ninjas (Europe) (En,Fr,De,Es,It,Nl)
nameminnadeasobounamcocarnival	Minna de Asobou! Namco Carnival (Japan)
nameminnadeboukenfamilytrainer	Minna de Bouken! Family Trainer (Japan)
nameminnanojoushikiryokutv	Minna no Joushiki Ryoku TV (Japan)
nameminnanorhythmtengoku	Minna no Rhythm Tengoku (Japan)
nameminoneverydayhero	Minon - Everyday Hero (Europe) (En,Fr,De,Es,It)
nameminutetowinit	Minute to Win It (USA) (En,Fr,Es)
namemlbpowerpros	MLB Power Pros (USA)
namemlbpowerpros2008	MLB Power Pros 2008 (USA)
namemlbsuperstars	MLB Superstars (USA)
namemmsadventure	M&M's Adventure (USA)
namemmsbeachparty	M&M's Beach Party (USA)
namemmskartracing	M&M's Kart Racing (USA)
namemoduhamkketakoron	Modu Hamkke Takoron (Korea)
namemomjjangdietwiifigurobicsbyjungdayeon	Momjjang Diet Wii - Figurobics by Jung Da-yeon (Japan)
namemomotaroudentetsu16hokkaidodaiidounomaki	Momotarou Dentetsu 16 - Hokkaido Daiidou no Maki! (Japan)
namemomotaroudentetsu2010sengokuishinnoherodaishuugounomaki	Momotarou Dentetsu 2010 - Sengoku Ishin no Hero Daishuugou! no Maki (Japan)
namemoncoachpersonneljenrichismonvocabulaire	Mon Coach Personnel - J'enrichis Mon Vocabulaire (France)
namemonkeykingthethelegendbegins	Monkey King, The - The Legend Begins (USA) (Rev 1)
namemonkeymischief	Monkey Mischief! (Europe) (En,Fr,De,Es,It)
namemonkeymischiefpartytime	Monkey Mischief! Party Time (USA) (En,Fr)
namemonopoly	Monopoly (Europe) (En,Fr,De,Es,Nl,Sv,Fi)
namemonopolycollection	Monopoly Collection (Europe) (En,Fr)
namemonopolystreets	Monopoly Streets (Europe) (En,Fr,De,Es,It,Nl)
namemonpremierkaraoke	Mon Premier Karaoke (France)
namemonster4x4stuntracer	Monster 4x4 - Stunt Racer (Europe) (En,Fr,De,Es,It)
namemonster4x4worldcircuit	Monster 4x4 - World Circuit (Europe) (En,Fr,De,Es,It)
namemonsterhigh13wishes	Monster High - 13 Wishes (Europe, Australia) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
namemonsterhighghoulspirit	Monster High - Ghoul Spirit (Europe) (En,Fr,De,Es,It,Nl)
namemonsterhighnewghoulinschool	Monster High - New Ghoul in School (Europe) (En,Fr,De,Es,It)
namemonsterhighscuoladapaura	Monster High - Scuola da Paura (Italy) (En,Fr,De,Es,It,Nl)
namemonsterhighskultimaterollermaze	Monster High - Skultimate Roller Maze (Europe, Australia) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
namemonsterhunter3tri	Monster Hunter 3 tri- (Japan)
namemonsterhunterg	Monster Hunter G (Japan)
namemonsterhuntertri	Monster Hunter Tri (Europe) (En,Fr,De,Es,It)
namemonsterjam	Monster Jam (Europe) (En,Fr,De,Es,It)
namemonsterjampathofdestruction	Monster Jam - Path of Destruction (Europe) (En,Fr,Es,It,Nl)
namemonsterjamurbanassault	Monster Jam - Urban Assault (Europe) (En,Fr,De,Es,It)
namemonsterlab	Monster Lab (Europe) (En,Fr,De,Es,It)
namemonstermayhembuildandbattle	Monster Mayhem - Build and Battle (USA)
namemonstertrucks	Monster Trucks (Europe) (En,Fr,De,Es,It)
namemonstertrucksmayhem	Monster Trucks Mayhem (USA) (En,Fr,Es)
namemonstertruxarenas	Monster Trux Arenas (Europe) (En,Fr,De,Es,It,Nl)
namemonstertruxarenasspecialedition	Monster Trux Arenas - Special Edition (USA)
namemonstertruxoffroad	Monster Trux Offroad (Europe) (En,Fr,De,Es,It,Nl)
namemoregameparty	More Game Party (Europe) (En,Fr,De,Es,It)
namemortalkombatarmageddon	Mortal Kombat - Armageddon (Europe) (En,Fr,De,Es,It)
namemortimerbeckettandthesecretsofspookymanor	Mortimer Beckett and the Secrets of Spooky Manor (USA)
namemotogp	MotoGP (Europe) (En,Fr,De,Es,It)
namemountainsports	Mountain Sports (Europe) (En,Fr,De,Es,It)
namemoviechinstalldiscvera	Movie-Ch Install Disc Ver. A (USA) (En,Fr,Es)
namemoviegames	Movie Games (USA) (En,Fr,Es)
namemoviestudiosparty	Movie Studios Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)
namemrbeanswackyworld	Mr Bean's Wacky World (USA)
namemrbeanswackyworldofwii	Mr Bean's Wacky World of Wii (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
namemtvpimpmyride	MTV Pimp My Ride (Europe) (En,Fr,De,Es,It)
namemummythetombofthedragonemperor	Mummy, The - Tomb of the Dragon Emperor (Europe) (En,Fr,De,Es,It,Nl)
namemunchablesthe	Munchables, The (Europe) (En,Fr,De,Es,It)
namemuramasathedemonblade	Muramasa - The Demon Blade (Europe) (En,Fr,De,Es,It)
namemushroommenthesporewars	Mushroom Men - The Spore Wars (Europe) (En,Fr,De,Es,It)
namemusiicpartyrockthehouse	Musiic Party - Rock the House (Europe) (En,Fr,De,Es,It)
namemxvsatvextremelimite	MX vs. ATV Extreme Limite (France)
namemxvsatvuntamed	MX vs. ATV Untamed (Europe)
namemyanimalcentre	My Animal Centre (Europe) (En,Fr,De,Es,It,Nl)
namemybaby2	My Baby 2 (Europe) (En,Fr,De,Es,It,Nl)
namemybabyfirststeps	My Baby First Steps (USA) (En,Fr,Es)
namemyballetstudio	My Ballet Studio (USA) (En,Fr,Es)
namemybodycoach	My Body Coach (Europe) (En,Fr,De,Es,It,Nl,Pt)
namemybodycoach2fitnessdance	My Body Coach 2 - Fitness & Dance (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
namemyeongtamjeongconanchueoguihwansang	Myeongtamjeong Conan - Chueogui Hwansang (Korea) (Rev 1)
namemyfirstsongs	My First Songs (Europe)
namemyfitnesscoach	My Fitness Coach (USA)
namemyfitnesscoach2exerciseandnutrition	My Fitness Coach 2 - Exercise and Nutrition (USA) (En,Fr,Es)
namemyfitnesscoachcardioworkout	My Fitness Coach - Cardio Workout (Europe) (En,Fr,De,Es,It)
namemyfitnesscoachclub	My Fitness Coach - Club (Europe) (En,Fr,De,Es,It)
namemyfitnesscoachdanceworkout	My Fitness Coach - Dance Workout (Europe, Australia) (En,Fr,De,Es,It)
namemyfitnesscoachgetinshape	My Fitness Coach - Get in Shape (Europe) (En,Fr,De,Es,It)
namemyfrenchcoachimproveyourfrench	My French Coach - Improve Your French (Europe)
namemyhorseclubonthetrailofthemysteriousappaloosa	My Horse Club - On the Trail of the Mysterious Appaloosa (Europe) (De,It)
namemyhorseme	My Horse & Me (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)
namemyhorseme2	My Horse & Me 2 (Europe) (En,Fr,De,Es,It,Nl,Sv)
namemyhorsemeridingforgold	My Horse & Me - Riding for Gold (USA) (En,Fr,Es)
namemypersonalgolftrainerwithimgacademiesanddavidleadbetter	My Personal Golf Trainer with IMG Academies and David Leadbetter (Europe)
namemypethotel	My Pet Hotel (Europe) (En,Fr,De,Es,It)
namemypetworld	My Pet World (Europe) (En,Es,Nl)
namemysims	MySims (Europe) (En,Fr,De,Es,It,Nl)
namemysimsagents	MySims Agents (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)
namemysimscollection	MySims Collection (USA) (En,Fr,Es)
namemysimskingdom	MySims Kingdom (Australia) (En,Fr,De,Es,It,Nl,Pt,Sv,Fi,Pl,Cs,Hu) (Rev 1)
namemysimsparty	MySims Party (Europe) (En,Fr,De,Es,It,Nl)
namemysimsracing	MySims Racing (Europe) (En,Fr,De,Es,It,Nl)
namemysimssimdeuruiwangguk	MySims Simdeurui Wangguk (Korea)
namemysimsskyheroes	MySims SkyHeroes (Europe) (En,Fr,De,Es,It,Nl)
namemyspanishcoachimproveyourspanish	My Spanish Coach - Improve Your Spanish (UK)
namemysterycasefilesthemalgraveincident	Mystery Case Files - The Malgrave Incident (Europe, Australia) (En,Fr,De,Es,It,Nl)
namemythmakersorbsofdoom	Myth Makers - Orbs of Doom (UK)
namemythmakerssuperkartgp	Myth Makers - Super Kart GP (Europe) (En,Fr,De,Es,It,Nl)
namemythmakerstrixieintoyland	Myth Makers - Trixie in Toyland (Europe) (En,Fr,De,Es,It,Nl)
namemyvetpractice	My Vet Practice (Europe) (En,Fr,De,Es,It)
namemywordcoach	My Word Coach (UK)
namemywordcoachverbeterjewoordenschat	My Word Coach - Verbeter Je Woordenschat (Netherlands)
namenamcomuseummegamix	Namco Museum Megamix (USA)
namenamcomuseumremix	Namco Museum Remix (Europe) (En,Fr,De,Es,It)
namenancydrewthewhitewolfoficiclecreek	Nancy Drew - The White Wolf of Icicle Creek (USA)
namenarniakokumonogataridai2shoucaspianoujinotsunobue	Narnia Koku Monogatari - Dai-2-shou - Caspian Ouji no Tsunobue (Japan)
namenarutoclashofninjarevolution	Naruto - Clash of Ninja Revolution (USA)
namenarutoclashofninjarevolution2	Naruto - Clash of Ninja Revolution 2 (USA) (En,Fr,Es)
namenarutoclashofninjarevolution2europeanversion	Naruto - Clash of Ninja Revolution 2 - European Version (Europe) (En,Fr,De,Es,It)
namenarutoclashofninjarevolutioneuropeanversion	Naruto - Clash of Ninja Revolution - European Version (Europe) (En,Fr,De,Es,It)
namenarutoshippudenclashofninjarevolutioniii	Naruto Shippuden - Clash of Ninja Revolution III (USA)
namenarutoshippudenclashofninjarevolutioniiieuropeanversion	Naruto Shippuden - Clash of Ninja Revolution III - European Version (Europe) (En,Fr,De,Es,It)
namenarutoshippudendragonbladechronicles	Naruto Shippuden - Dragon Blade Chronicles (USA)
namenarutoshippudendragonbladechronicleseuropeanversion	Naruto Shippuden - Dragon Blade Chronicles - European Version (Europe) (Fr,It)
namenarutoshippuudengekitouninjataisenex	Naruto Shippuuden - Gekitou Ninja Taisen! EX (Japan)
namenarutoshippuudengekitouninjataisenex2	Naruto Shippuuden - Gekitou Ninja Taisen! EX2 (Japan)
namenarutoshippuudengekitouninjataisenex3	Naruto Shippuuden - Gekitou Ninja Taisen! EX3 (Japan)
namenarutoshippuudengekitouninjataisenspecial	Naruto Shippuuden - Gekitou Ninja Taisen! Special (Japan)
namenarutoshippuudenryuujinki	Naruto Shippuuden - Ryuu Jin-ki (Japan)
namenascar2011thegame	NASCAR 2011 - The Game (USA)
namenascarkartracing	NASCAR Kart Racing (USA)
namenascarthegameinsideline	NASCAR the Game - Inside Line (USA)
namenascarunleashed	NASCAR Unleashed (USA)
namenatgeochallengewildlife	Nat Geo Challenge! Wild Life (USA) (En,Fr,Es)
namenatgeoquizwildlife	Nat Geo Quiz! Wild Life (Europe) (En,Fr,De,Es,It)
namenationalgeographicchallenge	National Geographic - Challenge! (Europe) (En,Fr,De,Es,It)
namenba2k10	NBA 2K10 (Europe) (En,Fr,De,Es,It)
namenba2k11	NBA 2K11 (Europe, Australia) (En,Fr,De,Es,It)
namenba2k12	NBA 2K12 (Europe) (En,Fr,De,Es,It)
namenba2k13	NBA 2K13 (Europe) (En,Fr,De,Es,It)
namenbajam	NBA Jam (Europe)
namenbalive08	NBA Live 08 (Europe) (En,Fr,De,Es,It)
namenbalive09allplay	NBA Live 09 - All-Play (Europe) (En,De,It)
namencaafootball09allplay	NCAA Football 09 - All-Play (USA)
namencisbasedonthetvseries	NCIS - Based on the TV Series (Europe) (En,Fr,De,Es,It)
namenecronesia	Necro-Nesia (Japan)
nameneedforspeedcarbon	Need for Speed - Carbon (Europe)
nameneedforspeedhotpursuit	Need for Speed - Hot Pursuit (Europe, Australia) (En,Fr,De,Es,It,Nl)
nameneedforspeednitro	Need for Speed - Nitro (Europe) (En,Fr,De,Es,It,Nl)
nameneedforspeedprostreet	Need for Speed - ProStreet (Europe) (En,Nl)
nameneedforspeedtherun	Need for Speed - The Run (Europe) (En,Fr,De,Es,It,Nl)
nameneedforspeedundercover	Need for Speed - Undercover (Europe) (En,Nl)
namenegimaneopactiofight	Negima! Neo-Pactio Fight!! (Japan)
nameneighborhoodgames	Neighborhood Games (USA)
nameneopetspuzzleadventure	Neopets - Puzzle Adventure (Europe) (En,Fr,De,Es,Nl)
namenerfnstrike	Nerf N-Strike (Europe) (En,De,Es)
namenerfnstrikedoubleblastbundle	Nerf N-Strike - Double Blast Bundle (USA)
namenerfnstrikeelite	Nerf N-Strike Elite (USA)
namenetflix	Netflix (USA) (Rev 2)
namenewcarnivalfunfairgames	New Carnival Funfair Games (Europe) (En,Fr,De,Es,It,Nl)
namenewcarnivalgames	New Carnival Games (USA) (En,Fr,Es)
namenewsupermariobroswii	New Super Mario Bros. Wii (Asia)
namenewufitnessfirstmindbodyyogapilatesworkout	NewU Fitness First Mind Body - Yoga & Pilates Workout (Europe) (En,Fr,De,Es,It)
namenewufitnessfirstpersonaltrainer	NewU Fitness First Personal Trainer (Australia) (En,Fr,De,Es,It)
namenewunoukidswii	New Unou Kids Wii (Japan)
namenhkkouhakuquizgassen	NHK Kouhaku Quiz Gassen (Japan)
namenhl2k10	NHL 2K10 (Europe) (En,Fr,De)
namenhl2k11	NHL 2K11 (Europe) (En,Fr,De)
namenhl2k9	NHL 2K9 (Europe) (En,Fr,De,Es,It)
namenhlslapshot	NHL Slapshot (Europe)
namenickelodeonavatarthelastairbender	Nickelodeon Avatar - The Last Airbender (USA)
namenickelodeonavatarthelastairbenderintotheinferno	Nickelodeon Avatar - The Last Airbender - Into the Inferno (USA)
namenickelodeonavatarthelastairbendertheburningearth	Nickelodeon Avatar - The Last Airbender - The Burning Earth (USA)
namenickelodeonavatarthelegendofaang	Nickelodeon Avatar - The Legend of Aang (Europe) (En,Fr,De,Nl)
namenickelodeonavatarthelegendofaangintotheinferno	Nickelodeon Avatar - The Legend of Aang - Into the Inferno (Europe) (En,De,Nl,Sv,No,Da,Fi)
namenickelodeonavatarthelegendofaangtheburningearth	Nickelodeon Avatar - The Legend of Aang - The Burning Earth (Europe) (En,Fr,De,Nl)
namenickelodeonbarnyard	Nickelodeon Barnyard (Europe) (En,Fr,De,Es,It,Nl)
namenickelodeonbigtimerushdanceparty	Nickelodeon Big Time Rush - Dance Party (Europe)
namenickelodeonbobesponjaatrapadosenelcongelador	Nickelodeon Bob Esponja - Atrapados en el Congelador (Spain)
namenickelodeonbobesponjabotesdechoque	Nickelodeon Bob Esponja - Botes de Choque (Spain) (En,Es)
namenickelodeondance	Nickelodeon Dance (Europe) (En,Fr,Es,Nl)
namenickelodeondance2	Nickelodeon Dance 2 (Australia)
namenickelodeondorasbigbirthdayadventure	Nickelodeon Dora's Big Birthday Adventure (Europe) (En,Fr,Nl)
namenickelodeondoratheexplorerdorasavesthecrystalkingdom	Nickelodeon Dora the Explorer - Dora Saves the Crystal Kingdom (Europe) (En,Fr,Nl)
namenickelodeondoratheexplorerdorasavesthesnowprincess	Nickelodeon Dora the Explorer - Dora Saves the Snow Princess (Europe) (En,Fr,Nl)
namenickelodeonfit	Nickelodeon Fit (Australia)
namenickelodeongodiegogogreatdinosaurrescue	Nickelodeon Go Diego Go! Great Dinosaur Rescue (Europe) (En,Fr,Nl)
namenickelodeonicarly	Nickelodeon iCarly (Europe, Australia) (En,Fr,De,Es,It,Nl)
namenickelodeonicarly2ijointheclick	Nickelodeon iCarly 2 - iJoin the Click! (Europe) (En,De,Es,It)
namenickelodeonnicktoonsmlb	Nickelodeon Nicktoons MLB (USA)
namenickelodeonnihaokailansupergameday	Nickelodeon Ni Hao, Kai-Lan - Super Game Day (Europe)
namenickelodeonspongebobandfriendsattackofthetoybots	Nickelodeon SpongeBob and Friends - Attack of the Toybots (Europe) (En,Fr,De,Es,Nl)
namenickelodeonspongebobsatlantissquarepantis	Nickelodeon SpongeBob's Atlantis SquarePantis (Europe) (En,Fr,De)
namenickelodeonspongebobsboatingbash	Nickelodeon SpongeBob's Boating Bash (USA)
namenickelodeonspongebobsquarepants	Nickelodeon SpongeBob SquarePants (Japan)
namenickelodeonspongebobsquarepantsboatingbash	Nickelodeon SpongeBob SquarePants - Boating Bash (Europe) (En,De)
namenickelodeonspongebobsquarepantscreaturefromthekrustykrab	Nickelodeon SpongeBob SquarePants - Creature from the Krusty Krab (Europe) (En,Fr,De)
namenickelodeonspongebobsquarepantsfeaturingnicktoonsglobsofdoom	Nickelodeon SpongeBob SquarePants featuring Nicktoons - Globs of Doom (Europe) (De,Es,It)
namenickelodeonspongebobsquarepantsplanktonsroboticrevenge	Nickelodeon SpongeBob SquarePants - Plankton's Robotic Revenge (Europe) (En,Fr,De,Es,It,Nl,Sv)
namenickelodeonspongebobsquarepantsspongebobstruthorsquare	Nickelodeon SpongeBob SquarePants - SpongeBob's Truth or Square (Europe) (En,De,It,Nl)
namenickelodeonspongebobsquarepantsspongebobtonakamatachitoybotnokougeki	Nickelodeon SpongeBob SquarePants - SpongeBob to Nakamatachi - Toybot no Kougeki (Japan)
namenickelodeonspongebobsquarepantssquigglepants	Nickelodeon SpongeBob SquarePants SquigglePants (Europe) (En,Fr,De,Es,It,Nl)
namenickelodeonspongebobsquigglepants	Nickelodeon SpongeBob SquigglePants (USA) (En,Fr,Es)
namenickelodeonspongebobstruthorsquare	Nickelodeon SpongeBob's Truth or Square (USA)
namenickelodeontakandtheguardiansofgross	Nickelodeon Tak and the Guardians of Gross (Europe) (En,De)
namenickelodeonteenagemutantninjaturtles	Nickelodeon Teenage Mutant Ninja Turtles (Europe) (En,Fr,De,Es,It,Nl,Sv)
namenickelodeonthenakedbrothersbandthevideogame	Nickelodeon The Naked Brothers Band - The Video Game (Europe)
namenickelodeonvictorioustakingthelead	Nickelodeon Victorious - Taking the Lead (Europe) (En,Fr,De,Es,It)
namenickjrgodiegogosafarirescue	Nick Jr. Go Diego Go! Safari Rescue (Europe, Australia)
namenicktoonsattackofthetoybots	Nicktoons - Attack of the Toybots (UK)
namenightatthemuseum2thevideogame	Night at the Museum 2 - The Video Game (Europe) (En,Fr,De)
namenightatthemuseumbattleofthesmithsonianthevideogame	Night at the Museum - Battle of the Smithsonian - The Video Game (USA)
namenightshoshifuruyorunomonogatari	Nights - Hoshi Furu Yoru no Monogatari (Japan)
namenightsjourneyofdreams	Nights - Journey of Dreams (Europe, Australia) (En,Ja,Fr,De,Es,It)
namenihonyakyuukikoushouninbattingrevolution	Nihon Yakyuu Kikou Shounin - Batting Revolution (Japan)
nameninjabreadman	Ninjabread Man (Europe) (En,Fr,De,Es,It,Nl)
nameninjacaptains	Ninja Captains (Europe) (En,Fr,De,Es,It)
nameninjareflex	Ninja Reflex (Europe, Australia) (En,Fr,De,Es,It)
namenitrobike	Nitrobike (Europe) (En,Fr,De,Es,It)
namenobunaganoyaboukakushinwithpowerupkit	Nobunaga no Yabou - Kakushin with Power-Up Kit (Japan) (Rev 1)
namenodamecantabiledreamorchestra	Nodame Cantabile - Dream Orchestra (Japan)
namenomoreheroes	No More Heroes (Europe) (En,Fr,De,Es,It)
namenomoreheroes2desperatestruggle	No More Heroes 2 - Desperate Struggle (Europe) (En,Fr,De,Es,It)
namenorthamericanhuntingextravaganza	North American Hunting Extravaganza (UK)
namenorthamericanhuntingextravaganza2	North American Hunting Extravaganza 2 (Europe)
