# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
namealvinandthechipmunks	Alvin and the Chipmunks (Europe) (En,Fr,De,Es,It)
namealvinandthechipmunkschipwrecked	Alvin and the Chipmunks - Chipwrecked (Europe)
namealvinandthechipmunksthesqueakquel	Alvin and the Chipmunks - The Squeakquel (Europe) (En,Fr,De)
nameamazingracethe	Amazing Race, The (USA) (En,Fr)
nameamazingspidermanthe	Amazing Spider-Man, The (Europe) (En,Fr,De,Es,It)
nameamericanmensaacademy	American Mensa Academy (USA)
nameamericasnexttopmodel	America's Next Top Model (Europe) (En,De)
nameamfbowlingpinbusters	AMF Bowling - Pinbusters! (Europe) (En,Fr,De,Es,It)
nameamfbowlingworldlanes	AMF Bowling World Lanes (Europe) (En,Fr,De,Es,It)
nameandkensaku	And-Kensaku (Japan)
nameandrewlloydwebbermusicalssinganddance	Andrew Lloyd Webber Musicals - Sing and Dance (Europe)
nameangrybirdsstarwars	Angry Birds Star Wars (Europe) (En,Fr,De,Es,It)
nameangrybirdstrilogy	Angry Birds Trilogy (Europe) (En,Fr,De,Es,It)
nameanimalcrossingcityfolk	Animal Crossing - City Folk (USA) (En,Fr,Es)
nameanimalcrossingletsgotothecity	Animal Crossing - Let's Go to the City (Europe) (En,Fr,De,Es,It)
nameanimalkingdomwildlifeexpedition	Animal Kingdom - Wildlife Expedition (USA)
nameanimalplanetvetlife	Animal Planet - Vet Life (Europe) (En,De,Es,It)
nameanimeslotrevolutionpachislotkidousenshigundamiiaisenshihen	Anime Slot Revolution - Pachi-Slot Kidou Senshi Gundam II - Ai Senshi-hen (Japan)
nameannocreateanewworld	Anno - Create a New World (Europe) (En,Fr,De,Es,It)
nameanothercoderajourneyintolostmemories	Another Code R - A Journey into Lost Memories (Europe) (En,Fr,De,Es,It)
nameanothercoderkiokunotobira	Another Code R - Kioku no Tobira (Japan)
nameanpanmannikonikoparty	Anpanman Niko Niko Party (Japan)
nameantbullythe	Ant Bully, The (Europe) (En,Fr,De,Es,It)
nameanubisii	Anubis II (Europe) (En,Fr,De,Es,It,Nl)
nameaquapanic	Aqua Panic! (Europe) (En,Fr,De,Es,It,Nl)
nameaquariusbaseballgenkainosonosakie	Aquarius Baseball - Genkai no, Sono Saki e. (Japan)
namearcadeshootinggallery	Arcade Shooting Gallery (USA) (En,Fr,Es)
namearcadezone	Arcade Zone (Europe) (En,Fr,De,Es,It)
namearcrisefantasia	Arc Rise Fantasia (Japan)
namearctictale	Arctic Tale (Europe) (En,Fr,De,Es,It)
nameareyousmarterthana5thgraderbacktoschool	Are You Smarter than a 5th Grader Back to School (USA)
nameareyousmarterthana5thgradergametime	Are You Smarter than a 5th Grader Game Time (USA)
nameareyousmarterthana5thgradermakethegrade	Are You Smarter than a 5th Grader Make the Grade (USA)
nameargosnosenshimuscleimpact	Argos no Senshi - Muscle Impact (Japan)
namearmymensoldiersofmisfortune	Army Men - Soldiers of Misfortune (Europe) (En,Fr,De,Es,It)
namearmyrescue	Army Rescue (USA)
namearoundtheworldin50games	Around the World in 50 Games (USA) (En,Fr)
namearthurandtherevengeofmaltazard	Arthur and the Revenge of Maltazard (Europe) (En,Fr,De,Es,It,Nl)
nameartlistcollectionthedogisland	Artlist Collection - The Dog Island (Europe) (En,Fr,De,Es,It,Nl)
nameartlistcollectionthedogislandhitotsunohananomonogatari	Artlist Collection - The Dog Island - Hitotsu no Hana no Monogatari (Japan) (Rev 1)
nameashescricket2009	Ashes Cricket 2009 (UK)
nameasterixattheolympicgames	Asterix at the Olympic Games (Europe) (En,Fr,De,Es,It,Nl)
nameastroboythevideogame	Astro Boy - The Video Game (Europe) (En,Fr,De,Es,It)
nameathleticpiggyparty	Athletic Piggy Party (Europe) (En,Fr,De,Es,It,Nl)
nameatreveteasonar	Atrevete a Sonar (Latin America) (En,Es)
nameattackofthemovies3d	Attack of the Movies 3-D (Europe) (En,Fr,De,Es,It)
nameatvfever	ATV Fever (Europe) (En,Fr,De,Es,It,Nl) (Rev 1)
nameatvquadkings	ATV Quad Kings (Europe) (En,Fr,De,Es,It)
nameautoerasedisc	Auto Erase Disc (USA)
