# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
nameactivisionanthology	Activision Anthology (Europe, Australia)
nameadibooandtheenergythieves	Adiboo and the Energy Thieves (Europe) (En,Fr,De,Es,It,Nl)
nameadkdamashii	ADK Damashii (Japan)
nameadventureoftokyodisneyseaushinawaretahousekinohimitsu	Adventure of Tokyo Disney Sea - Ushinawareta Houseki no Himitsu (Japan)
nameadventuresofcookiecreamthe	Adventures of Cookie & Cream, The (USA)
nameadventuresofdarwinthe	Adventures of Darwin, The (USA)
nameaeonflux	Aeon Flux (Europe)
nameaerobicsrevolution	Aerobics Revolution (Japan)
nameaerodancing4newgeneration	Aero Dancing 4 - New Generation (Japan)
nameaeroelitecombatacademy	Aero Elite - Combat Academy (USA)
nameafllive2003	AFL Live 2003 (Australia)
nameafllive2004	AFL Live 2004 (Australia) (v1.03)
nameafllive2004aussierulesfootball	AFL Live 2004 - Aussie Rules Football (Europe)
nameafllivepremiershipedition	AFL Live Premiership Edition (Australia)
nameaflpremiership2005	AFL Premiership 2005 (Australia)
nameaflpremiership2006	AFL Premiership 2006 (Australia)
nameaflpremiership2007	AFL Premiership 2007 (Australia)
nameafterwasureenukizuna	After... Wasureenu Kizuna (Japan)
nameagassitennisgeneration	Agassi Tennis Generation (Europe) (En,Fr,De,Es,It)
nameagenthugo	Agent Hugo (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
nameagenthugohulaholiday	Agent Hugo - Hula Holiday (Europe) (En,Fr,De,Es,It,Nl,Pt)
nameagenthugolemoontwist	Agent Hugo - Lemoon Twist (Europe) (En,Fr,De,Es,It,Nl,Pt)
nameagenthugoroborumble	Agent Hugo - RoboRumble (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
nameageofempiresiitheageofkings	Age of Empires II - The Age of Kings (Europe) (En,Fr,De,Es,It) (v1.20)
nameaggressiveinline	Aggressive Inline (Europe) (En,Fr,De,Es)
nameah64dapache	AH-64D Apache (Japan) (Beta)
nameaiigo2003	AI Igo 2003 (Japan)
nameaikaginukumoritohidamarinonakade	Aikagi - Nukumori to Hidamari no Naka de (Japan)
nameaimahjong2003	AI Mahjong 2003 (Japan)
nameair	Air (Japan)
nameairblade	AirBlade (Europe) (En,Fr,De,Es,It) (Beta)
nameairbornetroopscountdowntodday	Airborne Troops - Countdown to D-Day (Europe) (En,Fr,Es,It)
nameairforcedeltabluewingknights	AirForce Delta - Blue Wing Knights (Japan)
nameairforcedeltastrike	AirForce Delta Strike (Korea)
nameairraid3	Air Raid 3 (Europe)
nameairranger2plusrescuehelicopter	Air Ranger 2 Plus - Rescue Helicopter (Japan)
nameairranger2rescuehelicopter	Air Ranger 2 - Rescue Helicopter (Japan)
nameairrangerrescuehelicopter	Air Ranger - Rescue Helicopter (Europe)
nameaishougi2003	AI Shougi 2003 (Japan)
nameaiyoriaoshi	Ai yori Aoshi (Japan)
