# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
namesolmoonarge	Sol Moonarge (Japan)
namesorcerian	Sorcerian (Japan)
namesotsugyougraduation	Sotsugyou - Graduation (Japan)
namesotsugyouiineogeneration	Sotsugyou II - Neo Generation (Japan)
namesotsugyoushashinmiki	Sotsugyou Shashin - Miki (Japan)
namespaceadventurecobraiidensetsunootoko	Space Adventure Cobra II - Densetsu no Otoko (Japan)
namespaceadventurecobrakokuryuuounodensetsu	Space Adventure Cobra - Kokuryuuou no Densetsu (Japan)
namespaceinvaderstheoriginalgame	Space Invaders - The Original Game (Japan)
namesplashlake	Splash Lake (USA)
namesplashlakeostrichdaibouken	Splash Lake - Ostrich Daibouken (Japan)
namesprigganmark2reterraformproject	Spriggan Mark 2 - Re Terraform Project (Japan)
namestarbreaker	Star Breaker (Japan)
namestarmobile	Star Mobile (Japan)
namestarparodier	Star Parodier (Japan)
namestartlingodyssey	Startling Odyssey (Japan)
namestartlingodysseyiimaryuusensou	Startling Odyssey II - Maryuu Sensou (Japan)
namesteamhearts	Steam-Heart's (Japan)
namestriderhiryuu	Strider Hiryuu (Japan)
namesugorokuthe92naritorenariagaritrendy	Sugoroku, The '92 - Nari Tore - Nariagari Trendy (Japan)
namesummercarnival92alzadick	Summer Carnival '92 - Alzadick (Japan)
namesummercarnival93nexzrspecial	Summer Carnival '93 - NEXZR Special (Japan)
namesuperairzonkrockabillyparadise	Super Air Zonk - Rockabilly-Paradise (USA)
namesuperalbatross	Super Albatross (Japan)
namesupercdrom2taikensoftshuu	Super CD-ROM^2 Taiken Soft Shuu (Japan)
namesuperdaisenryaku	Super Daisenryaku (Japan)
namesuperdarius	Super Darius (Japan) (Alt)
namesuperdariusii	Super Darius II (Japan)
namesupermahjongtaikai	Super Mahjong Taikai (Japan)
namesuperraiden	Super Raiden (Japan)
namesuperrealmahjongpiiiiicustom	Super Real Mahjong PII-III Custom (Japan)
namesuperrealmahjongpivcustom	Super Real Mahjong PIV Custom (Japan)
namesuperrealmahjongpvcustom	Super Real Mahjong P.V Custom (Japan)
namesuperrealmahjongspecialmikikasumishoukonoomoideyori	Super Real Mahjong Special - Miki Kasumi Shouko no Omoide yori (Japan)
namesuperschwarzschild	Super Schwarzschild (Japan)
namesuperschwarzschild2	Super Schwarzschild 2 (Japan)
nameswordmaster	Sword Master (Japan)
namesydmeadsterraforming	SydMead's TerraForming (USA)
namesylphia	Sylphia (Japan)
nametadaimayuushaboshuuchuu	Tadaima Yuusha Boshuu-chuu (Japan)
nametaiheiki	Taiheiki (Japan)
nametanjoudebut	Tanjou - Debut (Japan)
nametecmoworldcupsupersoccer	Tecmo World Cup Super Soccer (Japan)
nametenchimuyouryououki	Tenchi Muyou! Ryououki (Japan)
nametenchiokurau	Tenchi o Kurau (Japan)
nametengaimakyoudedennoden	Tengai Makyou - Deden no Den (Japan)
nametenshinouta	Tenshi no Uta (Japan)
nametenshinoutaiidatenshinosentaku	Tenshi no Uta II - Datenshi no Sentaku (Japan)
nameterraforming	TerraForming (Japan)
nametoddsadventuresinslimeworld	Todd's Adventures in Slime World (Japan)
nametokimekimemorial	Tokimeki Memorial (Japan) (Rev 1)
nametoponeraegunbustervol1	Top o Nerae! GunBuster Vol. 1 (Japan)
nametoponeraegunbustervol2	Top o Nerae! GunBuster Vol. 2 (Japan)
nametraveleple	Travel Eple (Japan)
nametravellersdensetsuobuttobase	Travellers! Densetsu o Buttobase (Japan)
nametvshowthe	TV Show, The (Japan)
nameuchuusenkanyamato	Uchuu Senkan Yamato (Japan)
nameultrabox2gou	Ultra Box 2-gou (Japan)
nameultrabox3gou	Ultra Box 3-gou (Japan)
nameultrabox4gou	Ultra Box 4-gou (Japan)
nameultrabox5gou	Ultra Box 5-gou (Japan)
nameultrabox6gou	Ultra Box 6-gou (Japan)
nameultraboxsoukangou	Ultra Box Soukangou (Japan)
nameuruseiyatsurastaywithyou	Urusei Yatsura - Stay with You (Japan)
namevalisii	Valis II (Japan) (Alt 1)
namevalisiii	Valis III (Japan) (Alt)
namevalisiv	Valis IV (Japan)
namevasteel	Vasteel (Japan)
namevasteel2	Vasteel 2 (Japan)
namevirgindream	Virgin Dream (Japan)
namewhereintheworldiscarmensandiego	Where in the World Is Carmen Sandiego (Japan) (En,Ja)
namewindsofthunder	Winds of Thunder (Japan)
namewizardryiii	Wizardry I, II (Japan)
namewizardryiiiiv	Wizardry III, IV (Japan)
namewizardryvheartofthemaelstrom	Wizardry V - Heart of the Maelstrom (Japan)
namewonderboyiiimonsterlair	Wonder Boy III - Monster Lair (Japan) (Rev 3)
nameworldheroes2	World Heroes 2 (Japan)
namewrestleangelsdoubleimpact	Wrestle Angels - Double Impact (Japan)
namewrestlinguniversefireprojoshidomechoujotaisenzenjovsjwp	Wrestling Universe - Fire Pro Joshi - Dome Choujo Taisen - Zenjo vs. JWP (Japan)
namexak	Xak (Japan)
namexakiiitheeternalrecurrence	Xak III - The Eternal Recurrence (Japan)
nameyamamuramisasuspensekinsenkakyouezarasatsujinjiken	Yamamura Misa Suspense - Kinsenka Kyouezara Satsujin Jiken (Japan)
nameyaminoketsuzokuharukanarukioku	Yami no Ketsuzoku - Harukanaru Kioku (Japan)
nameyawara2afashionablejudogirl	YaWaRa! 2 - A Fashionable Judo Girl! (Japan)
nameyawaraafashionablejudogirl	YaWaRa! A Fashionable Judo Girl! (Japan)
nameyokoyamamitsuterushinsangokushitenkawawareni	Yokoyama Mitsuteru Shin Sangokushi - Tenka wa Ware ni (Japan)
nameysbookiii	Ys Book I & II (USA)
nameysiii	Ys I & II (Japan)
nameysiiiwanderersfromys	Ys III - Wanderers from Ys (USA)
nameysivthedawnofys	Ys IV - The Dawn of Ys (Japan) (Rev 4)
nameyuuyuuhakushoyamishoubuankokubujutsukai	Yuu Yuu Hakusho - Yami Shoubu!! Ankoku Bujutsu-kai (Japan)
namezankagerounotoki	Zan - Kagerou no Toki (Japan)
namezero4champii	Zero 4 Champ II (Japan)
namezerowing	Zero Wing (Japan)
napr1012	Rainbow Islands - The Story of Bubble Bobble 2 (Japan)
napr1013	Quiz Avenue (Japan)
napr1017	Hellfire S - The Another Story (Japan)
napr1018	Down Load 2 (Japan)
napr1019	Daisenpuu Custom (Japan)
napr1020	Splash Lake - Ostrich Daibouken (Japan)
napr1022	Might and Magic (Japan)
napr1024	Quiz Avenue II (Japan)
napr1025	Forgotten Worlds (Japan)
napr1026	Monster Maker - Yami no Ryuukishi (Japan)
napr1027	Horror Story (Japan)
napr1029	Dragon Knight II (Japan)
napr1030	Tenchi o Kurau (Japan)
napr1031	Super Darius II (Japan)
napr1032	Gain Ground SX (Japan)
napr1033	Chiki Chiki Boys (Japan)
napr1034	CAL II (Japan) (Alt)
napr1035	Dragon Knight III (Japan)
napr1036	Sotsugyou - Graduation (Japan)
napr1037	Mahjong on the Beach (Japan)
napr1038	Puyo Puyo CD (Japan)
napr1039	CAL III - Kanketsu-hen (Japan)
napr1040	Quiz Avenue III (Japan)
napr1041	Strider Hiryuu (Japan)
napr1042	Basted (Japan)
napr1043	Tanjou - Debut (Japan)
napr1044	Renny Blaster (Japan)
napr1045	Ane-san (Japan)
napr1046	Dragon Knight & Graffiti (Japan)
napr1047	Madou Monogatari I - Honoo no Sotsuenji (Japan)
napr1048	Tenchi Muyou! Ryououki (Japan)
napr1049	Asuka 120% Maxima - Burning Fest. Maxima (Japan)
napr1050	Space Invaders - The Original Game (Japan)
napr1051	Doukyuusei (Japan) (Rev 3) (Alt 2)
napr2028	Bonanza Bros. (Japan)
nipr1001	Puyo Puyo CD Tsuu (Japan)
nipr1002	De-Ja (Japan)
nscd0002	Sol Bianca (Japan)
nscd0003	Cyber City Oedo 808 - Kemono no Alignment (Japan)
nscd0004	Ranma 1-2 (Japan)
nscd0005	L-Dis (Japan)
nscd1006	Ranma 1-2 - Toraware no Hanayome (Japan)
nscd2009	Ranma 1-2 - Datou, Ganso Musabetsu Kakutou-ryuu! (Japan)
nscd2010	Kaizou Choujin Shubibinman 3 - Ikai no Princess (Japan)
nscd2011	Mamono Hunter Youko - Makai kara no Tenkousei (Japan)
nscd2016	Mamono Hunter Youko - Tooki Yobigoe (Japan)
nscd9001	ROM ROM Stadium (Japan)
pvcd0001	Where in the World Is Carmen Sandiego (Japan) (En,Ja)
pvcd0002	Gulclight TDF 2 (Japan)
pvcd1003	Road Spirits (Japan)
pvcd1004	Hihou Densetsu - Chris no Bouken (Japan)
pvcd2005	Minesweeper (Japan)
pvcd2006	Kawa no Nushitsuri - Shizen-ha (Japan)
pvcd2007	Hawk F-123 (Japan)
pvcd3008	Metal Angel (Japan)
pvcd3010	Aurora Quest - Otaku no Seiza in Another World (Japan)
pvcd4012	Metal Angel 2 (Japan)
pvcd5013	Nekketsu Legend - Baseballer (Japan)
rhcd1002	Prince of Persia (Japan)
rhcd2003	Top o Nerae! GunBuster Vol. 1 (Japan)
rhcd3005	Top o Nerae! GunBuster Vol. 2 (Japan)
rhcd3006	Patlabor - Chapter of Griffon (Japan)
rhcd3007	Faceball (Japan)
rhcd4008	Princess Minerva (Japan)
rhcd4009	Sotsugyou II - Neo Generation (Japan)
rscd2001	TerraForming (Japan)
rscd3002	Fiend Hunter (Japan)
rscd3003	Sword Master (Japan)
rscd3004	Flash Hiders (Japan)
rscd4005	TV Show, The (Japan)
shcd4005	PC Engine Hyper Catalog CD-ROM 5 - 1994 Spring (Japan)
shcd4007	PC Engine Hyper Catalog CD-ROM 6 - 1994 Summer (Japan) (Disc B)
shcd4008	PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc A)
shcd4009	PC Engine Hyper Catalog CD-ROM - 1994 Summer (Japan) (Disc B)
sxcd2001	YaWaRa! A Fashionable Judo Girl! (Japan)
tgxcd1033	Lords of Thunder (USA)
ticd3001	Himitsu no Hanazono (Japan)
ticd4002	Hatsukoi Monogatari (Japan) (Rev 1)
ticd4003	Dennou Tenshi - Digital Ange (Japan)
ticd6004	Develo - Starter Kit - Assembler-hen (Japan)
ticd6006	PC Engine Fan - Special CD-ROM^2 Vol. 1 (Japan)
ticd6007	Develo - Starter Kit - BASIC-hen (Japan)
ticd6008	Develo Magazine Vol. 1 (Japan)
tpcd1002	Gensou Tairiku Auleria (Japan)
